자치구,무단횡단 사고,중국인,단란주점,유흥주점,유흥업소,유기동물보호현황,인구밀도,"통근,통학",도로 총 계,광로(40m이상),대로(25~40),중로(12~25),소로(12m미만),횡단보도수,신호등O,신호등X,도로연장당 횡단보도 수,기초생활수급자,5~9세,10~14세,15~19세,노년부양비,노령화지수,총인구합계,노인인구합계
영등포구,214,36858,512,342,854,377,16441,652185,389191,6860,55026,41100,286205,1919,652,1267,4.93,8511,13577,12088,14892,18.1,137.0,402024,53981
관악구,211,15735,188,440,628,894,17587,925467,322203,11597,15485,30437,264684,894,313,581,2.77,14455,14173,14145,18921,17.8,170.8,520929,70046
종로구,210,5680,270,440,710,371,6817,273858,275032,7950,23872,30972,212238,993,278,715,3.61,4450,4871,5416,7851,21.9,186.6,164257,26182
은평구,200,2401,276,154,430,529,16415,824001,351997,1450,35509,32915,282123,1334,438,896,3.79,19677,17981,18854,24311,21.6,147.6,491202,74559
구로구,155,30717,194,66,260,364,21793,722706,294178,8907,32866,28665,223740,1575,432,1143,5.36,8906,17190,15296,18119,18.8,126.7,441559,58794
강북구,127,2188,254,148,402,581,13683,539823,226714,0,15650,30168,180896,1097,319,778,4.84,16175,10390,10747,14666,24.8,195.2,328002,56530
금천구,125,18327,156,106,262,439,19510,417327,188448,5080,9467,38896,135005,824,297,527,4.45,9820,7865,7396,9878,18.3,152.5,253491,34170
동대문구,114,9081,228,150,378,818,25630,628140,327382,4300,35819,34780,252483,1264,398,866,3.86,12453,11970,11641,16258,21.0,163.5,366011,55718
서초구,113,1779,222,144,366,373,9326,742884,394580,30170,34040,36500,293870,1887,484,1403,4.84,5477,21796,22891,24291,17.0,90.2,445401,53205
중구,112,4788,182,458,640,203,13618,214389,114232,9002,16722,20006,68502,1323,288,1035,11.58,4266,3935,3453,4964,21.6,190.1,134593,21384
양천구,112,3180,146,10,156,697,26894,836694,403922,7208,28592,13178,354944,1474,504,970,3.65,12118,20225,25035,30176,16.6,96.7,475018,55234
강남구,110,2201,574,466,1040,505,13859,969621,434999,35575,30825,63721,304878,2606,594,2012,6.0,11507,22889,27476,33643,16.2,100.3,561052,65060
서대문구,108,4185,132,60,192,455,18331,546045,311206,5917,28429,24288,252572,1086,272,814,3.5,8820,11186,11246,15351,21.0,154.1,325028,49266
노원구,86,1891,102,48,150,356,15468,984777,296067,0,54938,54998,186131,1361,561,800,4.66,26012,21047,25948,34889,18.9,120.1,558075,74243
중랑구,77,2910,208,52,260,513,22067,711597,334013,0,32390,45815,255808,1317,396,921,3.97,17070,13616,13147,17662,20.2,155.5,412780,59262
성북구,76,5761,138,16,154,569,18218,796644,627414,1744,29654,47746,548270,1708,409,1299,2.72,12909,17443,18158,23057,20.5,136.0,455407,66251
강서구,75,3978,336,266,602,602,14567,997314,385177,23406,43901,45397,272473,1814,567,1247,4.75,22252,23814,22439,27188,17.5,114.6,608255,76032
마포구,67,4860,168,128,296,1084,16199,674913,420428,12129,34990,44269,329040,1786,524,1262,4.25,8206,14110,14540,17097,17.4,119.2,385783,49615
광진구,64,12050,172,36,208,542,21746,668220,324237,3700,30458,23288,266791,963,258,705,2.97,8720,12357,12966,17274,15.8,123.6,372298,43953
동작구,60,10161,102,98,200,335,25032,714930,248238,10619,14939,37318,185362,1037,229,808,4.18,9306,14555,13654,17525,19.3,141.6,408493,57255
송파구,49,5071,348,206,554,562,19883,1131450,367200,19998,48054,50595,248553,1829,613,1216,5.04,12019,28591,28893,34622,16.0,98.0,671173,76582
도봉구,48,961,110,46,156,374,16531,584172,257431,5900,17075,24716,209740,942,321,621,3.66,11470,11969,12703,17091,22.3,160.0,346234,53488
강동구,46,3293,190,286,476,593,17564,791235,290049,13462,26580,42744,207263,1484,438,1046,5.2,10389,17065,17611,21712,18.2,118.4,440359,56161
용산구,43,2685,212,60,272,1064,11209,378753,280679,11678,43227,27838,197936,1007,290,717,3.59,6515,8333,8097,10161,20.5,155.1,244444,36882
성동구,7,5440,84,46,130,356,18771,521382,408339,4370,21185,48600,334184,1136,319,817,2.78,7839,11081,10222,13137,17.8,127.1,312711,41273
